Ano,Pos.,Clubes,Vitorias,Derrotas,Empates,GolsF/S,Saldo,Qtd_Jogadores,Idade_Media,Estrangeiros,Valor_total,Media_Valor,,,,
2017,18,America-MG,10,10,18,30:47,-17,51,"24,8",0,27350000,536000,,,,
2017,7,Athletico-PR,16,9,13,54:37,17,52,24,3,37650000,724000,,,,
2017,6,Atletico-MG,17,8,13,56:43,13,50,"23,4",6,61350000,1230000,,,,
2017,11,Bahia,12,12,14,39:41,-2,48,"23,2",2,34900000,727000,,,,
2017,9,Botafogo,13,12,13,38:46,-8,45,"23,1",4,25550000,568000,,,,
2017,15,Ceara,10,14,14,32:38,-6,54,26,2,26950000,499000,,,,
2017,14,Chapecoense,11,11,16,34:50,-16,52,"24,8",5,32030000,616000,,,,
2017,13,Corinthians,11,11,16,34:35,-1,54,"24,3",6,61400000,1140000,,,,
2017,8,Cruzeiro,14,11,13,34:34,0,51,24,5,62250000,1220000,,,,
2017,2,Flamengo,21,9,8,59:29,30,48,"23,8",7,67380000,1400000,,,,
2017,12,Fluminense,12,9,17,32:46,-14,58,"22,5",4,30800000,531000,,,,
2017,4,Gremio,18,12,8,48:27,21,59,"24,5",2,67600000,1150000,,,,
2017,3,Internacional,19,12,7,51:29,22,46,"24,2",7,55750000,1210000,,,,
2017,1,Palmeiras,23,11,4,64:26,38,48,"24,8",4,88330000,1840000,,,,
2017,20,Parana,4,11,23,18:57,-39,60,"22,9",3,18480000,308000,,,,
2017,10,Santos,13,11,14,46:40,6,46,23,5,68000000,1480000,,,,
2017,5,Sao Paulo,16,15,7,46:34,12,50,23,5,70880000,1420000,,,,
2017,17,Sport,11,9,18,35:57,-22,47,"24,1",1,30950000,659000,,,,
2017,16,Vasco,10,13,15,41:48,-7,55,"23,9",7,41580000,756000,,,,
2017,19,Vitoria,9,10,19,36:63,-27,61,"23,5",6,43900000,720000,,,,
2016,11,Athletico-PR,14,9,15,45:43,2,51,"23,5",4,43680000,856000,,,,
2016,20,Atletico-GO,9,9,20,38:56,-18,43,"23,5",0,14900000,347000,,,,
2016,9,Atletico-MG,14,12,12,52:49,3,47,"24,4",3,78100000,1660000,,,,
2016,18,Avai,10,13,15,29:48,-19,22,23,2,4980000,226000,,,,
2016,12,Bahia,13,11,14,50:48,2,43,"23,4",3,34250000,797000,,,,
2016,10,Botafogo,14,11,13,45:42,3,51,"23,5",5,30200000,592000,,,,
2016,8,Chapecoense,15,9,14,47:49,-2,50,24,5,36930000,739000,,,,
2016,1,Corinthians,21,9,8,50:30,20,41,"23,4",3,49500000,1210000,,,,
2016,17,Coritiba,11,10,17,42:51,-9,46,"24,7",2,30080000,654000,,,,
2016,5,Cruzeiro,15,12,11,47:39,8,45,24,6,74930000,1670000,,,,
2016,6,Flamengo,15,11,12,49:38,11,45,"24,3",7,84080000,1870000,,,,
2016,14,Fluminense,11,14,13,50:53,-3,48,"22,6",2,36550000,761000,,,,
2016,4,Gremio,18,8,12,55:36,19,62,23,7,59450000,959000,,,,
2016,2,Palmeiras,19,6,13,61:45,16,43,"24,9",3,67400000,1570000,,,,
2016,19,Ponte Preta,10,9,19,37:52,-15,51,"24,5",4,33550000,658000,,,,
2016,3,Santos,17,12,9,42:32,10,46,"23,6",4,54350000,1180000,,,,
2016,13,Sao Paulo,13,11,14,48:49,-1,52,"23,8",7,92050000,1770000,,,,
2016,15,Sport,12,9,17,46:58,-12,41,24,3,42900000,1050000,,,,
2016,7,Vasco,15,11,12,40:47,-7,44,"24,5",5,35850000,815000,,,,
2016,16,Vitoria,11,10,17,50:58,-8,44,"24,6",4,38750000,881000,,,,
2015,20,America-MG,7,7,24,23:58,-35,31,"24,7",1,30150000,973000,,,,
2015,6,Athletico-PR,17,6,15,38:32,6,43,"23,5",4,40730000,947000,,,,
2015,4,Atletico-MG,17,11,9,61:50,11,39,"24,3",4,62550000,1600000,,,,
2015,5,Botafogo,17,8,13,43:39,4,38,"23,9",4,13180000,347000,,,,
2015,11,Chapecoense,13,13,11,49:53,-4,51,"26,3",0,35200000,690000,,,,
2015,7,Corinthians,15,10,13,48:42,6,33,"24,6",2,48200000,1460000,,,,
2015,15,Coritiba,11,13,14,41:42,-1,33,"25,1",5,19600000,594000,,,,
2015,12,Cruzeiro,14,9,15,48:49,-1,30,"23,6",7,54850000,1830000,,,,
2015,18,Figueirense,8,13,17,30:50,-20,32,"24,7",2,20950000,655000,,,,
2015,3,Flamengo,20,11,7,52:35,17,32,"24,6",6,55550000,1740000,,,,
2015,13,Fluminense,13,11,14,45:45,0,30,"24,7",0,53850000,1800000,,,,
2015,8,Gremio,14,11,13,41:44,-3,37,"23,9",1,54530000,1470000,,,,
2015,17,Internacional,11,10,17,35:41,-6,33,"23,8",1,43600000,1320000,,,,
2015,1,Palmeiras,24,8,6,62:32,30,38,"25,9",4,69950000,1840000,,,,
2015,9,Ponte Preta,15,8,15,48:52,-4,43,"24,7",0,28150000,655000,,,,
2015,19,Santa Cruz,8,7,23,45:69,-24,29,"26,2",1,10650000,367000,,,,
2015,2,Santos,22,5,11,59:35,24,34,"22,8",3,36000000,1060000,,,,
2015,10,Sao Paulo,14,10,14,44:36,8,37,"23,3",5,62950000,1700000,,,,
2015,14,Sport,13,8,17,49:55,-6,40,"25,6",4,42500000,1060000,,,,
2015,16,Vitoria,12,9,17,51:53,-2,30,"23,2",0,23450000,782000,,,,
2014,10,Athletico-PR,14,9,15,43:48,-5,41,"22,5",1,12500000,305000,,,,
2014,2,Atletico-MG,21,6,11,65:47,18,40,"25,3",3,53780000,1340000,,,,
2014,17,Avai,11,9,18,38:60,-22,42,"24,3",1,9650000,230000,,,,
2014,14,Chapecoense,12,11,15,34:44,-10,36,"26,5",0,6750000,188000,,,,
2014,1,Corinthians,24,9,5,71:31,40,36,"24,8",4,52850000,1470000,,,,
2014,15,Coritiba,11,11,16,31:42,-11,44,"24,1",1,15850000,360000,,,,
2014,8,Cruzeiro,15,10,13,44:35,9,40,"24,4",5,58650000,1470000,,,,
2014,16,Figueirense,11,10,17,36:50,-14,45,"23,2",1,11400000,253000,,,,
2014,12,Flamengo,15,4,19,45:53,-8,36,"24,3",8,34450000,957000,,,,
2014,13,Fluminense,14,5,19,40:49,-9,50,"24,4",3,52350000,1050000,,,,
2014,19,Goias,10,8,20,39:49,-10,56,23,0,7250000,129000,,,,
2014,3,Gremio,20,8,10,52:32,20,40,"22,3",3,31350000,784000,,,,
2014,5,Internacional,17,9,12,39:38,1,47,"24,2",5,55500000,1180000,,,,
2014,20,Joinville,7,10,21,26:48,-22,38,"24,6",1,4600000,121000,,,,
2014,9,Palmeiras,15,8,15,60:51,9,41,"25,3",5,59150000,1440000,,,,
2014,11,Ponte Preta,13,12,13,41:40,1,42,"23,3",0,7700000,183000,,,,
2014,7,Santos,16,10,12,59:41,18,37,"23,5",1,25030000,676000,,,,
2014,4,Sao Paulo,18,8,12,53:47,6,42,"24,7",3,88800000,2110000,,,,
2014,6,Sport,15,14,9,53:38,15,46,"23,6",0,20850000,453000,,,,
2014,18,Vasco,10,11,17,28:54,-26,40,"24,3",6,17400000,435000,,,,
2013,8,Athletico-PR,15,9,14,43:42,1,30,"21,9",3,9050000,302000,,,,
2013,5,Atletico-MG,17,11,10,51:38,13,35,"25,9",2,50950000,1460000,,,,
2013,18,Bahia,9,10,19,31:43,-12,44,"24,4",6,16750000,381000,,,,
2013,19,Botafogo,9,7,22,31:48,-17,31,"25,6",5,23450000,756000,,,,
2013,15,Chapecoense,11,10,17,39:44,-5,30,"25,8",0,4400000,147000,,,,
2013,4,Corinthians,19,12,7,49:31,18,31,"25,1",2,62850000,2030000,,,,
2013,14,Coritiba,12,11,15,42:45,-3,39,"24,7",4,17600000,451000,,,,
2013,20,Criciuma,7,11,20,28:56,-28,41,"25,9",1,13850000,338000,,,,
2013,1,Cruzeiro,24,8,6,67:38,29,32,"25,7",4,41950000,1310000,,,,
2013,13,Figueirense,13,8,17,37:47,-10,28,"24,5",0,4900000,175000,,,,
2013,10,Flamengo,14,10,14,46:47,-1,32,"24,4",3,29100000,909000,,,,
2013,6,Fluminense,17,10,11,61:42,19,23,"24,4",2,39150000,1700000,,,,
